"M_B7_C16b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B7_C16b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B7_STC1b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B7_STC1b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B8_C1b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B8_C1b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B8_STC6_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B8_STC6_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out"
"LOC105274484" 9.71467972127863 9.48076074874172 9.59106865781982 9.66694372212825 9.86941690137519 10.1357603760666 9.41766443316682 9.37830292204128
"LOC105274485" 11.1899677649932 11.1909220721172 10.9282274805516 10.8973255909791 10.811816798019 10.7959513535396 11.134982107262 11.2734789659053
"LOC105274486" 12.22852242306 12.3169790094793 12.2815381257734 12.4117091122671 12.2215300078501 12.3770514619328 12.4016468557594 12.1712932040838
"LOC105274487" 8.18550470520309 8.47765278058646 8.17904916155745 8.08004036775057 8.41344525133849 8.40842805744655 8.29122413690942 8.27516390112208
"LOC105274488" 11.5414524537612 11.4969009488888 11.295947395303 11.1910530392117 11.2668414270962 11.2533993890646 11.6642162689186 11.6475538559403
"LOC105274489" 9.47763938110492 10.0120190765825 9.7448945842278 9.75053054928403 9.9538196530711 9.69406085757118 9.42732302085867 9.74899445762415
"LOC105274490" 10.767802460602 10.8952335939242 11.3202499414038 10.6547066382979 11.3072672899693 10.6473877056989 10.6779348545368 10.9203288213573
"LOC105274491" 8.20554466636745 8.62338549332231 8.26431441376899 8.1061880222724 8.161174285852 8.15409630444195 8.14827068427588 8.39761786581376
"LOC105274492" 8.69983364167156 9.33958094209544 8.80257724816921 8.98210767003881 8.67250963184085 8.76282311431491 8.69529931357743 9.09792694916591
"LOC105274493" 8.41225181402119 8.47065603657263 6.79138153053014 6.53964817746375 8.161174285852 7.87295875422697 6.49387315653538 6.44403475605925
"LOC105274494" 6.83943292079397 6.17952246798568 6.25067274829653 6.23892618573647 6.31716197454151 6.4873320318396 6.32505678598387 6.02932633238839
"LOC105274495" 9.19345888778937 9.0749483264655 8.63510747101293 8.8436054919755 8.69466151815486 8.77880615868881 8.98530892409722 9.18796140922743
"LOC105274496" 7.8743010777086 7.49160345021215 7.99762228410816 7.29714450039308 7.69890198386393 7.54714898592921 7.80830278627835 7.36273733331041
"LOC105274497" 11.1706027850603 11.0538260785317 10.8644327086389 10.9512144994248 10.9385794044603 10.676236921241 11.1549171487222 11.0991302341125
"LOC105274498" 13.1345264970413 12.6572258528165 13.172194536254 12.7932618073509 12.9108520035125 12.4817815785675 13.4290453558667 12.8146832951861
"LOC105274499" 7.04967935907491 7.20219886983802 7.48290250848882 7.52544254705591 7.4728940552399 7.54714898592921 6.87475125292625 7.25753209810988
"LOC105274500" 5.7075582797691 5.71871890075005 6.07808304100709 6.4153913890106 5.91929236314735 6.20193162950581 5.91275882640671 5.95971795685716
"LOC105274501" 11.8424670954414 11.6271948145723 11.7981790495459 11.6220711391861 11.6597962751785 11.6521341750916 12.0429791212125 11.7015800365465
"LOC105274502" 12.0837015078469 11.8965288199384 12.229783698 12.2058921403011 11.99989866819 12.0709650306183 12.4162199660666 12.221914752772
"LOC105274503" 6.78015493018985 6.79720325064465 6.77381340811528 6.92435379548348 6.94815936954427 6.76249338026804 6.80871399509006 6.73948721782147
"LOC105274504" 11.7118697984308 11.5697923310534 11.5115023045922 11.4899824580802 11.4814016538052 11.4573035068695 11.8593443671314 11.6471490134813
"LOC105274505" 5.8892262307613 5.82232260328058 5.84143595217954 5.91020836343671 5.79429814275025 5.90790429832756 5.79798430971454 5.95971795685716
"LOC105274506" 11.5826046156337 11.3980059869508 11.7223395812964 11.2227985493212 11.9469750669184 11.3671639819073 11.6703088797812 11.3128120454349
"LOC105274507" 10.9063535958765 10.8533646438924 10.8608541525226 10.7919867073766 10.8630923682424 10.9261808346981 10.9335353944036 10.9979650583917
"LOC105274508" 10.584785213685 10.470079309616 10.7128779329707 10.4161649744255 10.545778226673 10.5317012345062 10.7378495497079 10.578500117561
"LOC105274509" 9.25157755250752 8.76688814736162 9.35381370181392 8.91454228361161 9.00881974422145 9.31529447606241 9.10074026251335 8.76373592284098
"LOC105274510" 6.48670020522218 6.55408434643059 7.0818460883115 6.92435379548348 6.96446559843599 6.96580636705651 6.67617864989831 6.5177635908879
"LOC105274511" 10.6269450075191 10.6328762855265 11.427534082555 10.915513338883 11.2639100283724 10.6212498466405 10.7716303603313 10.6079380887839
"LOC105274512" 10.4602091781527 10.423428794331 10.2415175537312 10.3032200675653 10.0004183898956 10.0036180772079 10.5143662649595 10.5432327023644
"LOC105274513" 13.0463139867825 12.996231392334 12.9782560619509 12.923382831186 12.819994455634 12.6329668128869 13.0899553809411 13.2303600344591
"LOC105274514" 6.81610275125738 6.5701002783541 7.14768822160925 6.80471939189045 6.75134138557808 7.17827563668856 6.60993358685288 6.71058383314677
"LOC105274515" 12.6580037695189 12.95771277811 12.3909928085405 12.9671808514734 12.5479678170381 12.7781974323714 12.4348282651334 13.134129448818
"LOC105274516" 7.50327352996105 7.41757627272318 7.89343942539412 7.75363162183843 7.95328231595374 8.16644468466224 7.52652077796375 7.45990686757127
"LOC105274517" 7.3317609564687 6.9958123991804 7.25794997202631 6.8914481764588 7.27623823657341 7.06966707455453 7.04343134501058 7.02684425908864
"LOC105274518" 10.4068569109435 10.4385574124337 10.3257513321629 10.3903756646339 10.2357815394314 10.6068913211822 10.360308745044 10.3184492693523
